,User,Date,Tweet Count,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
499,@FoxNews,2018-08-01 14:55:00+00:00,99,".@SteveHiltonx: ""You hear the critics of @POTUS say, 'He's starting this trade war.' No, it was @BillClinton who st… https://t.co/OBb6qAMFIs",-0.5267,0.0,0.804,0.196
399,@CBSNews,2018-08-01 07:18:04+00:00,99,Kroger threatens to ban Visa cards https://t.co/L5I1I0hmgK https://t.co/ZzUrK4HFEg,-0.7351,0.0,0.492,0.508
99,@nytimes,2018-08-01 02:02:03+00:00,99,"A giant colony of 500,000 breeding pairs of king penguins has lost 90% of its population since 1982, according to a… https://t.co/0R7powHbgN",-0.3182,0.0,0.897,0.103
299,@BBCWorld,2018-07-31 00:44:23+00:00,99,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,-0.6597,0.0,0.649,0.351
199,@cnn,2018-08-01 13:33:01+00:00,99,One of Australia's largest hotel chains has been fined $2.2 million for trying to prevent negative TripAdvisor revi… https://t.co/3wptwghRST,-0.5574,0.05,0.78,0.17
398,@CBSNews,2018-08-01 07:33:04+00:00,98,"Iowa teen seriously hurt in ""Kiki"" challenge gone wrong https://t.co/YLl8ggmDsj https://t.co/SwNxTtBj2D",-0.7845,0.079,0.424,0.497
498,@FoxNews,2018-08-01 15:08:00+00:00,98,"Flames consume a home as the River Fire tears through Lakeport, California. https://t.co/5UMEK4NCBw",-0.5106,0.0,0.699,0.301
98,@nytimes,2018-08-01 02:17:03+00:00,98,"RT @nytpolitics: Alex Jones, the founder of InfoWars, is seeking over $100,000 in court costs from the parents of Noah Pozner, who died at…",-0.5574,0.0,0.865,0.135
198,@cnn,2018-08-01 13:40:06+00:00,98,"The Trump administration is making it easier to obtain coverage through short-term health insurance plans, which do… https://t.co/FKaObm5dWm",0.4215,0.141,0.859,0.0
298,@BBCWorld,2018-07-31 00:54:45+00:00,98,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,-0.6908,0.0,0.598,0.402
97,@nytimes,2018-08-01 02:32:03+00:00,97,"It has been a bruising time for Billboard, involving allegations of editorial interference and inappropriate behavi… https://t.co/ss2uVoGjOC",0.0,0.0,1.0,0.0
297,@BBCWorld,2018-07-31 01:52:42+00:00,97,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.3612,0.106,0.894,0.0
197,@cnn,2018-08-01 13:50:40+00:00,97,"President Trump says his attorney general, Jeff Sessions, should end special counsel Robert Mueller's investigation… https://t.co/HwIatDbt0j",0.4019,0.153,0.847,0.0
497,@FoxNews,2018-08-01 15:16:10+00:00,97,Trump urges Attorney General Sessions to end Russia probe https://t.co/s7RZvoad0O,0.0,0.0,1.0,0.0
